Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Actibacterium pelagium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,57.8,,55.4,10,30,,,35,25
Actinoallomurus oryzae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,65.4,,59.3,21,35.5,32,39,45,24
Actinoallomurus acaciae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,70.6,,59.5,12,29,28,30,41,29
Actinoallomurus acanthiterrae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,71.3,,59.1,18,32.5,28,37,37,19
Actinoalloteichus hoggarensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,,6.6,59.9,20,30,,,37,17
Actinoalloteichus nanshanensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,76.6,,59.9,20,28,,,37,17
Actinoalloteichus spitiensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,72,,59.4,20,25,,,37,17
Actinobacillus capsulatus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,42.4,,51.1,25,37,,,42,17
Actinobacillus ureae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,42.5,,50.9,25,37,,,40,15
Actinobacillus lignieresii,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,41.1,2.4,51.6,20,37,,,39,19
Actinobaculum suis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,56,,56.4,30,22.5,22,23,43,13
Actinocatenispora rupis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinocatenispora,74.3,,59.6,25,37,,,42,17
Actinocatenispora sera,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinocatenispora,72.5,,59.4,13,21.5,18,25,37,24
Actinocorallia populi,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,71.5,,59.7,10,28,,,45,35
Actinocorallia glomerata,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,71.7,,59.9,7,29,28,30,41,34
Actinocorallia herbida,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,73,,59.9,12,28,24,32,38,26
Actinocorallia libanotica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,66.2,,60.2,10,29,28,30,37,27
Actinocorallia aurantiaca,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,,,60.2,10,26.5,25,28,30,20
Actinocrinis puniceicyclus,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinocrinis,70.2,,61,13,22.5,20,25,30,17
Actinocrispum wychmicini,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinocrispum,70.7,,58.9,20,27,,,34,14
Actinokineospora soli,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,73.8,,59.4,25,37,,,55,30
Actinokineospora fastidiosa,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,73,,59.4,10,28,,,45,35
Actinokineospora acnipugnans,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,71.6,,59.7,20,30,25,35,45,25
Actinokineospora guangxiensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,73.4,,60,20,31,25,37,40,20
Actinokineospora mzabensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,,,58.4,20,27.5,25,30,35,15
Actinomadura rubrobrunea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,,60.2,37,50,45,55,65,28
Actinomadura viridilutea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,,59.9,37,50,45,55,65,28
Actinomadura cellulosilytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,70.2,,60.5,25,45,,,55,30
Actinomadura amylolytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,72.8,6.8,60.7,25,45,,,55,30
