Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Roseicyclus mahoneyensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseicyclus,66.2,,56.4,4,30,,,37,33
Roseiflexus castenholzii,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,60.7,5.7,63.6,45,50,,,55,10
Roseimarinus sediminis,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Roseimarinus,44.8,,51.7,17,33,,,42,25
Roseimaritima ulvae,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Roseimaritima,59.1,8.2,55.5,15,30,,,35,20
Roseimicrobium gellanilyticum,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,60.1,,54.8,20,28,26,30,30,10
Roseisalinus antarcticus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseisalinus,67,,55.3,3,21,16,26,33.5,30.5
Roseisolibacter agri,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,73.3,,61.8,15,22.5,20,25,36,21
Roseitalea porphyridii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Roseitalea,66.6,3.5,56.1,15,33.5,30,37,45,30
Roseivirga spongicola,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,43.7,,51.3,12,25,20,30,44,32
Roseivirga seohaensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,40.3,,51.9,4,30,,,40,36
Roseivirga marina,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,49.3,,52.4,4,27.5,25,30,40,36
Roseivirga ehrenbergii,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,40.2,,51.6,4,24,23,25,39,35
Roseivirga maritima,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,42.3,,51.2,4,25,,,32,28
Roseivirga echinicomitans,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,41.3,,51.7,4,22,21,23,31,27
Roseivivax salinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,67.7,,55.7,15,28,,,42,27
Roseivivax jejudonensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,66.2,,56.8,15,30,,,40,25
Roseivivax lentus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,68.2,,55.5,10,30,,,40,30
Roseivivax isoporae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,68.8,,56.8,10,37.5,35,40,40,30
Roseivivax pacificus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,64.6,,56.3,10,32.5,30,35,40,30
Roseivivax marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,67,,56.5,4,32,,,37,33
Roseivivax roseus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,61.8,,56.7,10,30,28,32,37,27
Rosenbergiella nectarea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rosenbergiella,46.8,,53,4,29,28,30,35,31
Roseobacter ponti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,60.8,,54.5,4,25,,,35,31
Roseococcus suduntuyensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,69.1,,57.2,20,25.5,23,28,35,15
Roseomonas alkaliterrae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,63,,59.4,5,45,40,50,55,50
Roseomonas aerofrigidensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,70.1,,58.4,10,30,,,45,35
Roseomonas oryzae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,67.5,,58.9,4,30,,,45,41
Roseomonas rubra,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,73.5,,58.1,12,33.5,30,37,45,33
Roseomonas deserti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,69.5,,58.9,13,32.5,30,35,42,29
Roseomonas suffusca,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,70.5,,58,13,32.5,30,35,42,29
Roseomonas fluminis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,73.1,,60.1,15,35,,,40,25
Roseomonas terricola,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,65.7,,58.4,15,35,,,40,25
Roseomonas aerophila,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,73,,57.6,4,30,,,40,36
Roseomonas soli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,68.3,,58.6,15,30,,,40,25
Roseomonas musae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,69.7,,57.5,20,30,,,40,20
Roseomonas aestuarii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,66.2,,58.6,20,30,,,40,20
Roseomonas oryzicola,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,70.5,,58.2,10,30,,,40,30
Roseomonas tokyonensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,72,,57.7,25,30,,,40,15
Roseomonas lacus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,71.9,,57.8,15,30,,,40,25
Roseomonas hibiscisoli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,64.1,,57.5,20,28,,,40,20
Roseomonas rhizosphaerae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,69.6,,58.7,15,28,,,40,25
Roseomonas wooponensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,71,,59.2,15,36,35,37,40,25
Roseomonas vinacea,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,67.3,,58.3,4,31,30,32,40,36
Roseomonas riguiloci,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,68,,59,15,27.5,25,30,40,25
Roseomonas frigidaquae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,69.5,,57.6,15,30,,,37,22
Roseomonas sediminicola,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,68,,59.3,10,31,25,37,37,27
Roseomonas nepalensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,68.3,,58.8,10,28.5,25,32,37,27
Roseomonas arcticisoli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,68.9,,58.8,10,27.5,25,30,37,27
Roseomonas terrae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,69.3,,57.6,10,25,,,36,26
Roseomonas eburnea,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,67.6,,58.8,15,30,,,35,20
Roseomonas pecuniae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,72.8,,58.8,10,30,,,35,25
Roseomonas stagni,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,72,,58.5,20,30,,,35,15
Roseomonas aerilata,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,72.1,,58.8,5,30,,,35,30
Roseomonas elaeocarpi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,70.4,,59,15,29,28,30,35,20
Roseomonas aquatica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,68.6,,57.8,15,26.5,25,28,35,20
Roseomonas aeriglobus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,70,,58.2,10,27.5,25,30,30,20
Roseomonas arctica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,71.2,,58.2,4,19,18,20,25,21
Roseovarius salinarum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,68.1,,55.9,20,33,,,50,30
Roseovarius halotolerans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,59,,54.5,10,35,,,45,35
Roseovarius pacificus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,62.3,,55,4,25,,,45,41
Roseovarius tibetensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,64.5,,55.4,10,25,20,30,45,35
Roseovarius atlanticus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,63.6,,54.5,4,26.5,25,28,45,41
Roseovarius nitratireducens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,65.4,,56.1,4,30,,,42,38
Roseovarius antarcticus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,60.9,,52.8,4,24,18,30,42,38
Roseovarius aquimarinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,61.9,,55.2,4,37,,,40,36
Roseovarius aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,62.3,,54.7,10,30,,,40,30
Roseovarius confluentis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,66.3,,54.7,15,30,,,40,25
Roseovarius azorensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,61.9,,54.9,15,30,,,40,25
Roseovarius litoreus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,62.9,,55.4,10,30,,,40,30
Roseovarius lutimaris,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,58.2,,54.4,15,30,,,40,25
Roseovarius nubinhibens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,66,,54.6,10,30,,,40,30
Roseovarius algicolus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,62,,54.4,15,28,,,40,25
Roseovarius indicus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,64.3,6.2,54.4,10,25,,,39,29
Roseovarius aestuarii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,58.6,,54.4,10,30,,,37,27
Roseovarius marisflavi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,57.7,,54.3,0,32.5,28,37,37,37
Roseovarius gaetbuli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,60.9,,54.6,4,30,,,35,31
Roseovarius ramblicola,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,63,,56.5,5,28,,,30,25
Roseovarius scapharcae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,53.8,,54.4,10,25,,,30,20
Rothia endophytica,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,53.2,,56.3,4,35,,,45,41
Rothia terrae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,56.1,,55.5,15,35,,,40,25
Rothia marina,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,55.2,,56.1,5,27.5,25,30,35,30
Ruania albidiflava,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Ruaniaceae,Ruania,69.8,,57.1,20,28,,,37,17
Rubellimicrobium thermophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,70,,58.6,28,48.5,45,52,56,28
Rubellimicrobium mesophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,72.3,,58.1,20,28,,,37,17
Rubellimicrobium rubrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,66.6,,58.4,20,28,,,30,10
Rubellimicrobium roseum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,67.7,,57.6,25,28,,,30,5
Rubeoparvulum massiliense,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rubeoparvulum,43.8,,55.3,25,37,,,56,31
Rubidimonas crustatorum,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Rubidimonas,55.3,,59.4,10,31,25,37,40,30
Rubricella aquisinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubricella,57.5,,54.9,10,29,28,30,42,32
Rubricoccus marinus,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus,68.9,,57,5,25,20,30,37,32
Rubrimonas shengliensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubrimonas,65.6,,58.6,4,28,,,50,46
Rubripirellula obstinata,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubripirellula,56.1,,52.9,10,25,,,30,20
Rubritalea squalenifaciens,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,52.4,,53.7,15,30,,,37,22
Rubritalea sabuli,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,47.7,,54.2,10,33.5,30,37,37,27
Rubritalea tangerina,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,50.3,,52.5,15,33.5,30,37,37,22
Rubritalea spongiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,48,,52.8,4,33.5,30,37,37,33
Rubritalea marina,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,50.9,,52.3,8,27.5,25,30,30,22
Rubritalea profundi,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,50.7,,51.6,4,10,,,15,11
Rubrivirga profundi,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubrivirga,66.2,,57.9,4,25,,,42,38
Rubrivirga marina,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubrivirga,68.9,,58.2,10,27.5,25,30,37,27
Rubrivivax albus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Rubrivivax,70.3,,57.1,25,30,,,37,12
Rubrobacter taiwanensis,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,68.5,,60.4,30,60,,,70,40
Rubrobacter naiadicus,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,66.6,,61.2,43,60,,,67.5,25
Rubrobacter calidifluminis,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,65.3,,61.5,43,60,,,67.5,25
Rubrobacter spartanus,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,,60.4,45,50,,,55,10
Rubrobacter bracarensis,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,65.2,,57.8,10,32.5,28,37,45,35
Rudaea cellulosilytica,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,64,,55.8,5,29,28,30,35,30
Rudaeicoccus suwonensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Rudaeicoccus,64.7,,57.2,10,28,,,37,27
Rudaibacter terrae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rudaibacter,64,,56,10,29,28,30,37,27
Rudanella lutea,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rudanella,55,,54.1,4,30,,,40,36
Ruegeria intermedia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,,,55.8,15,41,37,45,55,40
Ruegeria marisrubri,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,62.9,,56.2,20,38.5,37,40,50,30
Ruegeria arenilitoris,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,64.6,,55.5,4,33.5,30,37,45,41
Ruegeria marina,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,63.5,,56.1,10,36,35,37,42,32
Ruegeria profundi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,56.7,,55.5,15,34,33,35,42,27
Ruegeria kandeliae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,65.7,,55,10,33.5,30,37,40,30
Ruegeria halocynthiae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,58.6,,54.8,10,30,,,37,27
Ruegeria faecimaris,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,57.9,,54.7,4,30,,,37,33
Ruegeria conchae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,55.7,,55,10,27.5,25,30,37,27
Ruegeria meonggei,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,58,,54.9,4,30,,,30,26
Ruegeria denitrificans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,56.7,,54.9,15,26,,,26,11
Rufibacter immobilis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,52.8,,57.3,15,30,,,45,30
Rufibacter quisquiliarum,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,50.7,,57.7,4,28.5,20,37,45,41
Rufibacter roseus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,43.9,,56,4,30,,,37,33
Rufibacter ruber,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,51.5,,57.5,10,25,,,37,27
Rufibacter tibetensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,,5.4,56.1,18,30,,,33,15
Rufibacter glacialis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,49,,57.5,4,20,18,22,25,21
Ruficoccus amylovorans,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Ruficoccus,57.4,,54.7,15,25,,,37,22
Rugosibacter aromaticivorans,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rugosibacter,55.1,2.9,56.1,20,32,30,34,35,15
Ruminococcus champanellensis,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,53.1,,51.5,33,39,,,39,6
Rummeliibacillus stabekisii,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,37.7,3.4,53.3,28,30,28,32,55,27
Rummeliibacillus suwonensis,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,37.8,,53.8,20,41,37,45,50,30
Rummeliibacillus pycnus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,35,,53.3,5,29,28,30,45,40
Runella defluvii,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,40.1,,51.8,15,32.5,30,35,40,25
Runella zeae,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,49,,51.3,15,28,,,37,22
Runella soli,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,49.9,,52.4,15,29,28,30,37,22
Runella palustris,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,46.2,,51.6,20,30,,,30,10
Rurimicrobium arvi,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Rurimicrobium,42,,51.4,15,28.5,20,37,42,27
Sabulilitoribacter multivorans,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sabulilitoribacter,37.4,,50.1,4,30,,,37,33
Sabulilitoribacter arenilitoris,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sabulilitoribacter,31.9,,50.4,10,30,,,30,20
Saccharedens versatilis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Saccharedens,59.2,,56,23,40,,,47,24
Saccharibacillus qingshengii,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,55,,55.3,15,30,,,42,27
Saccharibacillus kuerlensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,50.5,,54.4,15,33.5,30,37,42,27
Saccharibacillus sacchari,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,57.8,,54.9,8,28,,,40,32
Saccharibacillus brassicae,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,58.4,5.6,55.7,15,25,,,37,22
Saccharibacillus endophyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,55.2,,55.6,10,29,28,30,36,26
Saccharibacillus deserti,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,55.5,,56.2,10,25,,,35,25
Saccharicrinis carchari,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Saccharicrinis,40,,51.2,10,29,28,30,40,30
Saccharolobus caldissimus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,31.7,,64,65,85,,,93,28
Saccharolobus solfataricus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,35.8,3,63.4,50,85,,,87,37
Saccharomonospora glauca,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,,,59.7,37,50,,,60,23
Saccharomonospora colocasiae,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,69,,59.4,19,31,27,35,52,33
Saccharomonospora amisosensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,68.9,,58.6,28,30,,,45,17
Saccharomonospora oceani,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,71.4,,59.5,15,28,,,45,30
Saccharomonospora xiaoerkulensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,72.9,,59.6,25,37,,,43,18
Saccharophagus degradans,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,45.8,5.1,52.8,4,30,,,37,33
Saccharopolyspora subtropica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,71.3,,58.9,25,43.5,37,50,60,35
Saccharopolyspora griseoalba,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,72.7,,58.9,15,28,,,45,30
Saccharopolyspora jiangxiensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,70.3,,58.6,15,28,,,45,30
Saccharopolyspora antimicrobica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,69.1,,58.8,20,32.5,28,37,45,25
Saccharopolyspora halophila,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,66.3,,58.9,10,32.5,28,37,45,35
Saccharopolyspora halotolerans,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,69.1,,58.6,15,37,,,42,27
Saccharopolyspora lacisalsi,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,68.2,,59.7,25,37,,,42,17
Saccharopolyspora phatthalungensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,70.3,,58.5,18,31,28,34,42,24
Saccharopolyspora indica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,69.5,,58.7,4,30,,,40,36
Saccharopolyspora qijiaojingensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,70.1,,59.7,20,28,,,40,20
Saccharopolyspora deserti,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,69.9,,59,14,32.5,28,37,40,26
Saccharopolyspora hattusasensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,71.7,,58.6,28,30,,,37,9
